id,time,server,category,value,player_name,killer_name,boss_name,equipment_name,item_name,is_killed,crawl_time
9205186,2026-07-08 01:15:44,Super 3,SYSTEM,xauzaihaysuc vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,xauzaihaysuc,,,,Set kích hoạt,0,2026-07-07 18:15:34
9205079,2026-07-08 01:11:55,Super 3,SYSTEM,orinel vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,orinel,,,,Set kích hoạt,0,2026-07-07 18:11:33
9204607,2026-07-08 00:52:07,Super 3,SYSTEM,emdihotel vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt Set Cađic M,emdihotel,,,,Set kích hoạt Set Cađic M,0,2026-07-07 17:52:32
9204460,2026-07-08 00:45:07,Super 3,SYSTEM,anbomaydyi vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,anbomaydyi,,,,Set kích hoạt,0,2026-07-07 17:45:32
9204436,2026-07-08 00:44:31,Super 3,SYSTEM,kaizenpro vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,kaizenpro,,,,Set kích hoạt,0,2026-07-07 17:44:32
9204418,2026-07-08 00:43:54,Super 3,SYSTEM,kame99dame vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,kame99dame,,,,Set kích hoạt,0,2026-07-07 17:43:32
9204296,2026-07-08 00:38:18,Super 3,SYSTEM,anhtr4isayhi vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,anhtr4isayhi,,,,Set kích hoạt,0,2026-07-07 17:38:32
9203865,2026-07-08 00:23:06,Super 3,SYSTEM,galickgunr vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,galickgunr,,,,Set kích hoạt,0,2026-07-07 17:23:31
9203663,2026-07-08 00:14:29,Super 3,SYSTEM,th0sandathu vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,th0sandathu,,,,Set kích hoạt,0,2026-07-07 17:14:30
9203286,2026-07-07 23:58:54,Super 3,SYSTEM,maydeppgai vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,maydeppgai,,,,Set kích hoạt,0,2026-07-07 16:58:30
9203274,2026-07-07 23:58:18,Super 3,SYSTEM,hades444 vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,hades444,,,,Set kích hoạt,0,2026-07-07 16:58:30
9203027,2026-07-07 23:47:17,Super 3,SYSTEM,khjcon8386 vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,khjcon8386,,,,Set kích hoạt,0,2026-07-07 16:47:29
9202829,2026-07-07 23:40:28,Super 3,SYSTEM,[HT] bentleysp3 vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt Gohan,,,,,Set kích hoạt Gohan,0,2026-07-07 16:40:29
9202791,2026-07-07 23:39:04,Super 3,SYSTEM,anbomaydyi vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,anbomaydyi,,,,Set kích hoạt,0,2026-07-07 16:39:29
9202752,2026-07-07 23:37:18,Super 3,SYSTEM,[HT] milkkiller vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt Gohan,,,,,Set kích hoạt Gohan,0,2026-07-07 16:37:29
9202730,2026-07-07 23:36:18,Super 3,SYSTEM,muadongnamay vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,muadongnamay,,,,Set kích hoạt,0,2026-07-07 16:36:29
